Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,3 BHK,Umdanagar,2136 sqft,Poss. by Dec '27,21 out of 42,Unfurnished,East,Resale,"₹9,597 per sqft"
,Apartment,3 BHK,Banjara Hills,2500 sqft,Ready to Move,1 out of 4,Furnished,East,Resale,"₹16,000 per sqft"
,Apartment,2 BHK,Annojiguda,762 sqft,,5 out of 9,Unfurnished,North - East,New Property,"₹5,425 per sqft"
,Apartment,4 BHK,Kokapet,6333 sqft,,26 out of 29,Unfurnished,West,Resale,"₹13,500 per sqft"
,Villa,4 BHK,Hitech City Hyderabad,3000 sqft,Ready to Move,,Unfurnished,East,New Property,"₹28,333 per sqft"
,Apartment,2 BHK,Narsingi,1370 sqft,Ready to Move,8 out of 40,Semi-Furnished,West,New Property,"₹12,409 per sqft"
,House,4 BHK,Mallampet,,Ready to Move,,,West,,
,Villa,6 BHK,Jonnabanda Hyderabad,4053 sqft,Ready to Move,,Furnished,South,Resale,"₹6,168 per sqft"
,Apartment,3 BHK,Serilingampalle M Hyderabad,1969 sqft,Ready to Move,10 out of 36,Furnished,,Resale,
,House,4 BHK,Miyapur,3500 sqft,Ready to Move,,Unfurnished,,Resale,"₹6,857 per sqft"
,Apartment,2 BHK,Medipally Hyderabad,1090 sqft,Ready to Move,3 out of 4,Furnished,North,Resale,"₹4,545 per sqft"
,House,3 BHK,Jupiter Colony Karkhana Hyderabad,1250 sqft,Ready to Move,,Unfurnished,East,Resale,"₹26,923 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1939 sqft,Ready to Move,5 out of 5,Unfurnished,East,Resale,"₹9,386 per sqft"
,House,10 BHK,Om Nagar Maruthi Nagar Hyderabad,7500 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹12,750 per sqft"
,House,2 BHK,Moula Ali Hyderabad,600 sqft,Ready to Move,,Unfurnished,South -West,Resale,"₹6,963 per sqft"
,Apartment,2 BHK,Kollur,1180 sqft,Ready to Move,2 out of 2,Unfurnished,North,Resale,"₹5,986 per sqft"
,Villa,2 BHK,Beeramguda Ramachandrapuram Hyderabad,1285 sqft,Ready to Move,,Unfurnished,East,Resale,"₹12,333 per sqft"
,Apartment,3 BHK,Nacharam Hyderabad,2000 sqft,Ready to Move,5 out of 5,Semi-Furnished,East,Resale,"₹6,210 per sqft"
,Apartment,3 BHK,Vanasthalipuram,1510 sqft,Ready to Move,1 out of 5,Unfurnished,North,Resale,"₹5,625 per sqft"
,Apartment,3 BHK,Malkajgiri Hyderabad,1750 sqft,Ready to Move,2 out of 5,Furnished,North - East,Resale,"₹7,543 per sqft"
,House,4 BHK,Paramount Hills Hyderabad,3000 sqft,Ready to Move,,Semi-Furnished,North,Resale,"₹11,298 per sqft"
,Apartment,3 BHK,Miyapur,1222 sqft,Ready to Move,6 out of 10,Semi-Furnished,West,Resale,"₹8,054 per sqft"
,Apartment,2 BHK,Praga Tools Colony,1000 sqft,Ready to Move,1 out of 5,Furnished,North - East,Resale,"₹5,182 per sqft"
,Builder Floor,3 BHK,APGOs Coop HSG Society,3215 sqft,Ready to Move,1 out of 5,Semi-Furnished,East,Resale,"₹10,109 per sqft"
,Apartment,3 BHK,Kukatpally,1213 sqft,Ready to Move,21 out of 33,Unfurnished,North,Resale,"₹8,571 per sqft"
,Apartment,3 BHK,Serilingampalle M Hyderabad,1220 sqft,Ready to Move,22 out of 50,Unfurnished,West,New Property,"₹9,870 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,1860 sqft,Poss. by Mar '27,7 out of 18,Unfurnished,East,Resale,
,Apartment,3 BHK,Hitech City Hyderabad,2465 sqft,Ready to Move,39 out of 39,Semi-Furnished,West,Resale,"₹21,712 per sqft"
,Apartment,3 BHK,Hitech City Hyderabad,1058 sqft,Ready to Move,Ground out of 20,Furnished,East,Resale,"₹10,759 per sqft"
,Apartment,3 BHK,Bairagiguda Hyderabad,1580 sqft,Ready to Move,3 out of 5,Semi-Furnished,West,New Property,"₹7,342 per sqft"
,Apartment,2 BHK,Appa Junction Area Hyderabad,1300 sqft,Ready to Move,14 out of 20,Semi-Furnished,West,Resale,"₹9,643 per sqft"
,Apartment,3 BHK,HUDA Layout Nalagandla Hyderabad,2000 sqft,Ready to Move,4 out of 19,Semi-Furnished,West,Resale,"₹11,190 per sqft"
,Apartment,3 BHK,Abhudaya Nagar Colony,1193 sqft,Ready to Move,4 out of 5,Semi-Furnished,East,Resale,"₹4,923 per sqft"
,Apartment,2 BHK,Nalagandla Hyderabad,1270 sqft,Ready to Move,8 out of 10,Semi-Furnished,East,Resale,"₹8,425 per sqft"
,Builder Floor,2 BHK,Nagaram Hyderabad,1000 sqft,Ready to Move,Ground out of 3,Semi-Furnished,North - East,Resale,"₹3,889 per sqft"
,Apartment,3 BHK,Narsingi,1508 sqft,Ready to Move,9 out of 40,Unfurnished,West,Resale,"₹11,000 per sqft"
,House,2 BHK,Nadergul Road Hyderabad,1050 sqft,Ready to Move,,Unfurnished,North,Resale,"₹5,763 per sqft"
,Apartment,2 BHK,Kokapet,1000 sqft,Ready to Move,1 out of 10,Unfurnished,East,New Property,"₹8,756 per sqft"
,Builder Floor,2 BHK,Madhapur Hyderabad,1000 sqft,Ready to Move,3 out of 5,Furnished,North - East,Resale,"₹7,959 per sqft"
,Apartment,3 BHK,Whitefields Hyderabad,1775 sqft,Ready to Move,5 out of 5,Furnished,West,Resale,"₹7,614 per sqft"
,Villa,4 BHK,Brundavan Colony Bolarum Hyderabad,2200 sqft,Ready to Move,,Unfurnished,West,New Property,"₹9,726 per sqft"
,Apartment,4 BHK,Gachibowli Hyderabad,4490 sqft,Ready to Move,9 out of 22,Furnished,North,Resale,"₹17,817 per sqft"
,Villa,3 BHK,Mallampet Road Hyderabad,1550 sqft,Ready to Move,,Unfurnished,West,New Property,"₹12,121 per sqft"
,House,5 BHK,Attapur Hyderabad,4600 sqft,Ready to Move,Ground out of 3,Semi-Furnished,West,Resale,"₹7,585 per sqft"
,Apartment,4 BHK,Malaysian Township,2600 sqft,Ready to Move,8 out of 11,Furnished,North,Resale,"₹12,727 per sqft"
,Villa,3 BHK,Tellapur,2101 sqft,Ready to Move,,Unfurnished,,Resale,"₹13,089 per sqft"
,Villa,4 BHK,Gandipet Hyderabad,,Ready to Move,,Semi-Furnished,West,Resale,"₹30,286 per sqft"
,Apartment,2 BHK,Manikonda Jagir Hyderabad,1100 sqft,Ready to Move,2 out of 5,Furnished,West,Resale,"₹7,040 per sqft"
,Apartment,3 BHK,Moti Nagar Erragadda Hyderabad,1135 sqft,Ready to Move,5 out of 5,Semi-Furnished,West,Resale,"₹8,634 per sqft"
,Apartment,2 BHK,Nagaram Hyderabad,800 sqft,Ready to Move,4 out of 5,Unfurnished,West,Resale,"₹3,855 per sqft"
,House,6 BHK,New Mirjalguda,2600 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹13,333 per sqft"
,Apartment,2 BHK,Sangeet Nagar Kukatpally Hyderabad,1149 sqft,Ready to Move,5 out of 16,Furnished,North,Resale,"₹8,250 per sqft"
,Apartment,3 BHK,Rock Town Colony Hyderabad,1850 sqft,Ready to Move,3 out of 5,Unfurnished,East,Resale,"₹5,000 per sqft"
,Apartment,2 BHK,Patancheruvu Hyderabad,685 sqft,Ready to Move,2 out of 5,Semi-Furnished,East,Resale,"₹5,385 per sqft"
,Apartment,2 BHK,Suraram Hyderabad,756 sqft,Ready to Move,2 out of 5,Furnished,East,Resale,"₹5,926 per sqft"
,Apartment,2 BHK,Bolarum,700 sqft,Ready to Move,2 out of 2,Furnished,North - East,Resale,"₹4,267 per sqft"
,Apartment,3 BHK,Ameerpet,1730 sqft,Ready to Move,6 out of 7,Semi-Furnished,North - East,Resale,"₹8,785 per sqft"
,Villa,3 BHK,Beeramguda Ramachandrapuram Hyderabad,1400 sqft,Ready to Move,,Furnished,East,Resale,"₹11,611 per sqft"
,Villa,6 BHK,Manikonda Jagir Hyderabad,5000 sqft,Ready to Move,,Furnished,East,New Property,"₹9,300 per sqft"
,Villa,3 BHK,Nizampet Hyderabad,2457 sqft,Ready to Move,,Semi-Furnished,North - East,Resale,"₹8,954 per sqft"
,Apartment,3 BHK,Gajularamaram Hyderabad,1565 sqft,Ready to Move,4 out of 5,Furnished,West,Resale,"₹5,367 per sqft"
,Apartment,3 BHK,Nanakaramguda Hyderabad,1500 sqft,Ready to Move,8 out of 9,Semi-Furnished,West,Resale,"₹13,793 per sqft"
,Apartment,3 BHK,Kokapet,2100 sqft,Ready to Move,6 out of 12,Semi-Furnished,West,Resale,"₹10,755 per sqft"
,Apartment,3 BHK,Miyapur,2325 sqft,Ready to Move,6 out of 17,Unfurnished,West,Resale,"₹8,817 per sqft"
,Apartment,2 BHK,Miyapur,840 sqft,Ready to Move,14 out of 14,Unfurnished,East,New Property,"₹6,655 per sqft"
,Apartment,2 BHK,Nizampet Miyapur Road Hyderabad,1101 sqft,Ready to Move,12 out of 14,Unfurnished,East,New Property,"₹7,002 per sqft"
,Apartment,2 BHK,Bachupally Hyderabad,1112 sqft,Ready to Move,3 out of 8,Semi-Furnished,East,Resale,"₹8,250 per sqft"
,Apartment,3 BHK,Habsiguda,1200 sqft,Ready to Move,4 out of 5,Semi-Furnished,East,New Property,"₹10,318 per sqft"
,Apartment,3 BHK,Miyapur,1500 sqft,Ready to Move,7 out of 19,Semi-Furnished,East,Resale,"₹9,449 per sqft"
,Apartment,3 BHK,Tellapur,2240 sqft,Ready to Move,4 out of 10,Furnished,West,Resale,"₹8,929 per sqft"
,Apartment,2 BHK,Narsingi,1300 sqft,Ready to Move,5 out of 40,Unfurnished,West,Resale,"₹10,949 per sqft"
,Villa,4 BHK,Kollur,,Ready to Move,,Unfurnished,West,Resale,"₹23,232 per sqft"
,House,4 BHK,Green Homes Colony Hyderabad,1890 sqft,Ready to Move,,Unfurnished,East,Resale,"₹5,100 per sqft"
,Villa,5 BHK,Tellapur,3300 sqft,Ready to Move,,Unfurnished,West,Resale,"₹12,239 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,1423 sqft,Ready to Move,3 out of 10,Unfurnished,East,Resale,"₹7,099 per sqft"
,Apartment,2 BHK,Begumpet Hyderabad,1030 sqft,Ready to Move,3 out of 4,Semi-Furnished,West,Resale,"₹4,825 per sqft"
,Apartment,3 BHK,Petbasheerabad Hyderabad,1700 sqft,Ready to Move,2 out of 6,Furnished,West,Resale,"₹7,427 per sqft"
,Apartment,3 BHK,Nizampet Hyderabad,1523 sqft,Ready to Move,10 out of 13,Unfurnished,South,Resale,"₹7,636 per sqft"
,House,5 BHK,Kapra Hyderabad,4250 sqft,Ready to Move,,Semi-Furnished,West,Resale,"₹6,047 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2379 sqft,Ready to Move,5 out of 7,Unfurnished,East,Resale,"₹7,776 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1695 sqft,Ready to Move,Ground out of 14,Semi-Furnished,East,Resale,"₹10,619 per sqft"
,Apartment,3 BHK,Hitech City Hyderabad,2000 sqft,Ready to Move,13 out of 14,Semi-Furnished,North - East,Resale,"₹12,087 per sqft"
,House,4 BHK,Prashanti Nagar New Nallakunta Hyderabad,1800 sqft,Ready to Move,,Unfurnished,West,Resale,"₹15,220 per sqft"
,Villa,4 BHK,Ghatkesar,2450 sqft,Ready to Move,,Unfurnished,East,Resale,"₹6,429 per sqft"
,Villa,3 BHK,Haven Colony Hyderabad,2500 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹6,040 per sqft"
,Apartment,3 BHK,Sainikpuri Hyderabad,1800 sqft,Ready to Move,4 out of 4,Semi-Furnished,North,New Property,"₹5,176 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1650 sqft,Ready to Move,9 out of 9,Semi-Furnished,North,Resale,"₹7,388 per sqft"
,Apartment,3 BHK,Hyderguda Attapur Hyderabad,1100 sqft,Ready to Move,4 out of 5,Unfurnished,North,Resale,"₹6,328 per sqft"
,Apartment,3 BHK,Narsingi,1734 sqft,Ready to Move,30 out of 30,Unfurnished,West,Resale,"₹12,814 per sqft"
,Apartment,3 BHK,Nallagandla Tellapur Road Hyderabad,1700 sqft,Ready to Move,Lower Basement out of 4,Unfurnished,South - East,Resale,
,Apartment,3 BHK,Pragathi Nagar,1640 sqft,Ready to Move,Ground out of 4,Semi-Furnished,North - East,Resale,"₹6,098 per sqft"
,Apartment,3 BHK,Quthbullapur,1424 sqft,Ready to Move,2 out of 2,Semi-Furnished,East,Resale,"₹5,618 per sqft"
,Apartment,3 BHK,Rajendranagar Mandal Hyderabad,1100 sqft,Ready to Move,4 out of 5,Semi-Furnished,East,Resale,"₹5,217 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,1353 sqft,Ready to Move,30 out of 33,Unfurnished,East,Resale,"₹8,869 per sqft"
,Apartment,2 BHK,Suchitra Road Hyderabad,1150 sqft,Ready to Move,3 out of 5,Furnished,North - East,Resale,"₹6,695 per sqft"
,Villa,4 BHK,Khajaguda Hyderabad,3200 sqft,Ready to Move,,Semi-Furnished,North - East,Resale,"₹18,085 per sqft"
,Apartment,2 BHK,Madeenaguda Hyderabad,1100 sqft,Ready to Move,2 out of 7,Semi-Furnished,East,Resale,
,Villa,4 BHK,Kollur,3580 sqft,Ready to Move,,Unfurnished,North - West,New Property,"₹14,000 per sqft"
,House,3 BHK,Mallapur Balapur Hyderabad,1188 sqft,Ready to Move,,Unfurnished,West,New Property,"₹8,730 per sqft"
,Apartment,2 BHK,Miyapur,1100 sqft,Ready to Move,4 out of 10,Unfurnished,West,Resale,"₹7,826 per sqft"
,Apartment,4 BHK,Kollur,1625 sqft,Poss. by Mar '27,8 out of 15,Unfurnished,East,New Property,"₹6,049 per sqft"
,Apartment,2 BHK,Mallampet,950 sqft,Ready to Move,4 out of 5,Furnished,East,Resale,"₹5,455 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,1353 sqft,Ready to Move,6 out of 33,Unfurnished,East,Resale,"₹7,857 per sqft"
,Apartment,2 BHK,Kuntloor Hyderabad,808 sqft,Ready to Move,3 out of 5,Unfurnished,West,Resale,"₹4,340 per sqft"
,Apartment,2 BHK,Kondapur Hyderabad,1121 sqft,Ready to Move,8 out of 10,Furnished,North,Resale,"₹12,461 per sqft"
,Apartment,3 BHK,Friends Colony Chanda Nagar Hyderabad,1640 sqft,Ready to Move,4 out of 5,Furnished,East,Resale,"₹7,353 per sqft"
,House,2 BHK,Saket,2900 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹5,500 per sqft"
,Villa,4 BHK,Chilkur Balaji Temple Road,2600 sqft,Ready to Move,,Furnished,East,Resale,"₹16,154 per sqft"
,Apartment,2 BHK,SR Naik Nagar,1000 sqft,Ready to Move,1 out of 4,Semi-Furnished,East,Resale,"₹6,818 per sqft"
,Apartment,3 BHK,Narsingi,1400 sqft,Ready to Move,17 out of 18,Furnished,North - East,Resale,"₹13,485 per sqft"
,Apartment,2 BHK,Miyapur,861 sqft,Ready to Move,11 out of 14,Unfurnished,North,Resale,
,Apartment,2 BHK,Gachibowli Hyderabad,1150 sqft,,19 out of 22,Unfurnished,,Resale,"₹10,817 per sqft"
,Apartment,3 BHK,Tellapur,1800 sqft,Ready to Move,18 out of 35,Unfurnished,East,Resale,"₹11,682 per sqft"
,Apartment,2 BHK,Dammaiguda Hyderabad,1050 sqft,Ready to Move,2 out of 4,Furnished,West,Resale,"₹3,620 per sqft"
,Villa,4 BHK,Narsingi,3135 sqft,Ready to Move,,Furnished,East,Resale,"₹27,113 per sqft"
,Apartment,2 BHK,Kondapur Hyderabad,1201 sqft,Ready to Move,7 out of 31,Unfurnished,West,Resale,"₹10,368 per sqft"
,Apartment,3 BHK,Gajularamaram Hyderabad,1350 sqft,Ready to Move,2 out of 9,Semi-Furnished,East,Resale,"₹4,915 per sqft"
,Apartment,2 BHK,Bahadurpally Hyderabad,1100 sqft,Ready to Move,3 out of 6,Semi-Furnished,North,Resale,"₹6,852 per sqft"
,Apartment,3 BHK,Nizampet Road Hyderabad,1114 sqft,Ready to Move,4 out of 5,Semi-Furnished,East,Resale,"₹6,667 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,1353 sqft,Ready to Move,28 out of 33,Unfurnished,West,Resale,"₹7,857 per sqft"
,Apartment,3 BHK,Nacharam Hyderabad,1300 sqft,Ready to Move,2 out of 12,Semi-Furnished,East,Resale,"₹8,462 per sqft"
,Apartment,2 BHK,Kondapur Hyderabad,840 sqft,Ready to Move,2 out of 6,Semi-Furnished,West,Resale,"₹6,190 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1890 sqft,Ready to Move,18 out of 19,Furnished,West,Resale,"₹10,184 per sqft"
,Apartment,3 BHK,Kompally Hyderabad,1400 sqft,Ready to Move,4 out of 5,Unfurnished,East,Resale,"₹5,842 per sqft"
,Apartment,3 BHK,Financial District,1242 sqft,Ready to Move,Ground out of 40,Unfurnished,West,New Property,"₹10,505 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1800 sqft,Ready to Move,17 out of 18,Unfurnished,West,Resale,"₹10,938 per sqft"
,Villa,3 BHK,Beeramguda Ramachandrapuram Hyderabad,1600 sqft,Ready to Move,,Furnished,West,Resale,"₹9,509 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1406 sqft,Ready to Move,21 out of 29,Unfurnished,West,Resale,"₹11,685 per sqft"
,Apartment,2 BHK,Bachupally Hyderabad,1060 sqft,Ready to Move,5 out of 5,Semi-Furnished,West,Resale,"₹6,132 per sqft"
,Apartment,2 BHK,100 Feet Road Hyderabad,1265 sqft,Ready to Move,4 out of 4,Furnished,North - East,Resale,"₹8,077 per sqft"
,Apartment,2 BHK,Nalagandla Hyderabad,1250 sqft,Ready to Move,3 out of 26,Unfurnished,West,Resale,"₹10,916 per sqft"
,Villa,4 BHK,Manikonda Jagir Hyderabad,5000 sqft,Ready to Move,,Furnished,West,Resale,"₹11,000 per sqft"
,Apartment,2 BHK,Friends Colony Chanda Nagar Hyderabad,1070 sqft,Ready to Move,5 out of 5,Furnished,East,Resale,"₹7,009 per sqft"
,Apartment,2 BHK,Kollur,1230 sqft,Ready to Move,15 out of 101,Semi-Furnished,East,Resale,
,House,2 BHK,Jupiter Colony Karkhana Hyderabad,1150 sqft,Ready to Move,,Semi-Furnished,West,Resale,"₹34,615 per sqft"
,Apartment,3 BHK,R K Puram,1600 sqft,Ready to Move,4 out of 5,Unfurnished,East,Resale,"₹6,748 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2700 sqft,Ready to Move,4 out of 18,Semi-Furnished,East,Resale,"₹14,400 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1400 sqft,Ready to Move,1 out of 6,Semi-Furnished,East,Resale,"₹8,688 per sqft"
,House,3 BHK,Kapra Hyderabad,1650 sqft,Ready to Move,,Semi-Furnished,West,Resale,"₹10,294 per sqft"
,Apartment,2 BHK,Tellapur,900 sqft,Ready to Move,9 out of 9,Furnished,East,Resale,"₹9,758 per sqft"
,Apartment,2 BHK,Puppalguda Hyderabad,1250 sqft,Ready to Move,3 out of 5,Furnished,West,Resale,"₹9,477 per sqft"
,Apartment,2 BHK,Adibatla Hyderabad,1150 sqft,Ready to Move,3 out of 5,Semi-Furnished,East,Resale,
,Apartment,2 BHK,Gachibowli Hyderabad,900 sqft,Ready to Move,4 out of 24,Semi-Furnished,East,Resale,"₹12,953 per sqft"
,Apartment,3 BHK,Financial District,2000 sqft,Ready to Move,35 out of 39,Unfurnished,West,Resale,"₹11,036 per sqft"
,Apartment,2 BHK,Miyapur,861 sqft,Ready to Move,9 out of 14,Furnished,,Resale,"₹8,130 per sqft"
,Apartment,2 BHK,Dammaiguda Hyderabad,1000 sqft,Ready to Move,1 out of 3,Semi-Furnished,North,Resale,"₹4,729 per sqft"
,Apartment,2 BHK,Ameenpur Hyderabad,1008 sqft,Ready to Move,3 out of 5,Unfurnished,East,Resale,"₹5,820 per sqft"
,Apartment,2 BHK,Renuka Yellamma Colony Hyderabad,850 sqft,Ready to Move,1 out of 5,Furnished,East,Resale,"₹6,397 per sqft"
,Villa,5 BHK,Neopolis Hyderabad,3500 sqft,Ready to Move,,Furnished,East,Resale,"₹43,750 per sqft"
,Apartment,2 BHK,Vinay Nagar,930 sqft,Ready to Move,2 out of 5,Unfurnished,West,New Property,"₹6,637 per sqft"
,Apartment,3 BHK,Serilingampalle M Hyderabad,1605 sqft,Ready to Move,25 out of 50,Unfurnished,West,Resale,"₹9,346 per sqft"
,Apartment,3 BHK,West Marredpally Hyderabad,1310 sqft,Ready to Move,4 out of 4,Furnished,North - East,Resale,"₹7,037 per sqft"
,Villa,4 BHK,BDL Colony Balapur Hyderabad,2700 sqft,Ready to Move,,Furnished,East,Resale,"₹6,071 per sqft"
,Apartment,2 BHK,Madeenaguda Hyderabad,1245 sqft,Ready to Move,5 out of 5,Furnished,East,Resale,"₹6,154 per sqft"
,Apartment,4 BHK,Gachibowli Hyderabad,2600 sqft,Ready to Move,24 out of 34,Semi-Furnished,East,Resale,"₹13,269 per sqft"
,Apartment,4 BHK,Banjara Hills,3000 sqft,Ready to Move,5 out of 5,Semi-Furnished,North - East,Resale,"₹11,000 per sqft"
,Apartment,2 BHK,Begumpet Hyderabad,1100 sqft,Ready to Move,5 out of 5,Semi-Furnished,North,Resale,"₹11,382 per sqft"
,Apartment,3 BHK,Attapur Hyderabad,1500 sqft,Ready to Move,1 out of 4,Semi-Furnished,West,Resale,"₹5,329 per sqft"
,Apartment,3 BHK,Nanakaramguda Hyderabad,1900 sqft,Ready to Move,20 out of 44,Unfurnished,West,Resale,"₹12,985 per sqft"
,Apartment,2 BHK,Nalagandla Hyderabad,1380 sqft,Ready to Move,4 out of 14,Semi-Furnished,East,Resale,"₹9,000 per sqft"
,Apartment,3 BHK,Financial District,2220 sqft,Ready to Move,20 out of 39,Unfurnished,West,Resale,"₹11,667 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1650 sqft,Ready to Move,5 out of 6,Furnished,East,Resale,"₹35,000 per sqft"
,Villa,3 BHK,Gopanpalle Hyderabad,3520 sqft,Ready to Move,,Semi-Furnished,West,Resale,"₹21,053 per sqft"
,Apartment,3 BHK,Kukatpally Housing Board Road Hyderabad,2259 sqft,Ready to Move,2 out of 35,Furnished,West,Resale,"₹11,952 per sqft"
,Apartment,2 BHK,Mallapur Hyderabad,1000 sqft,Ready to Move,3 out of 5,Semi-Furnished,East,Resale,
,Villa,4 BHK,Kakatiya Hills Kavuri Hills Hyderabad,3800 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹21,224 per sqft"
,Apartment,3 BHK,Bandari Layout Hyderabad,1550 sqft,Ready to Move,3 out of 4,Semi-Furnished,West,Resale,"₹4,194 per sqft"
,Apartment,4 BHK,Narayanguda Hyderabad,2127 sqft,Ready to Move,1 out of 5,Furnished,North - East,Resale,
,Villa,3 BHK,Mallampet,2500 sqft,Ready to Move,,Furnished,West,Resale,"₹5,926 per sqft"
,Apartment,3 BHK,Kukatpally Housing Board Colony,1899 sqft,Ready to Move,4 out of 34,Semi-Furnished,West,Resale,"₹11,585 per sqft"
,Builder Floor,3 BHK,Dammaiguda Hyderabad,2400 sqft,Ready to Move,5 out of 5,Furnished,East,Resale,"₹7,407 per sqft"
,Apartment,3 BHK,Osman Nagar Hyderabad,1500 sqft,Ready to Move,4 out of 10,Unfurnished,West,Resale,"₹9,470 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1620 sqft,Ready to Move,5 out of 5,Semi-Furnished,East,Resale,"₹7,990 per sqft"
,Builder Floor,3 BHK,Manikonda Jagir Hyderabad,1800 sqft,Ready to Move,1 out of 6,Semi-Furnished,North,Resale,"₹7,895 per sqft"
,Apartment,2 BHK,Kukatpally,1116 sqft,Ready to Move,3 out of 5,Furnished,West,Resale,"₹6,911 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1800 sqft,Ready to Move,1 out of 5,Furnished,East,Resale,"₹8,539 per sqft"
,Villa,4 BHK,Yapral Hyderabad,1800 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹14,713 per sqft"
,Villa,4 BHK,Kompally Hyderabad,2700 sqft,Ready to Move,,Unfurnished,East,New Property,"₹10,179 per sqft"
,Villa,4 BHK,Gopanpally Hyderabad,5647 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹32,459 per sqft"
,Villa,5 BHK,Financial District,8500 sqft,Ready to Move,,Furnished,South - East,Resale,"₹46,667 per sqft"
,Apartment,2 BHK,Nizampet Hyderabad,1274 sqft,Ready to Move,2 out of 10,Semi-Furnished,East,Resale,"₹7,300 per sqft"
,Villa,4 BHK,Tellapur,3400 sqft,Ready to Move,,Furnished,East,Resale,"₹25,000 per sqft"
,Apartment,2 BHK,Tellapur,960 sqft,Ready to Move,22 out of 30,Unfurnished,East,Resale,"₹10,815 per sqft"
,Apartment,3 BHK,Defence Colony Sainikpuri Hyderabad,1310 sqft,Ready to Move,2 out of 3,Furnished,East,Resale,"₹5,954 per sqft"
,Apartment,4 BHK,Kompally Hyderabad,2676 sqft,Ready to Move,1 out of 5,Semi-Furnished,North - East,Resale,"₹6,353 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2805 sqft,Ready to Move,3 out of 20,Unfurnished,East,Resale,"₹13,999 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,2500 sqft,Ready to Move,6 out of 15,Unfurnished,West,Resale,"₹9,302 per sqft"
,Apartment,3 BHK,Miyapur,1830 sqft,Ready to Move,4 out of 10,Furnished,East,Resale,"₹6,842 per sqft"
,Apartment,3 BHK,Tellapur,2132 sqft,Ready to Move,8 out of 29,Unfurnished,East,New Property,
,Builder Floor,2 BHK,Shamirpet Hyderabad,1090 sqft,Poss. by Oct '26,1 out of 5,Unfurnished,East,Resale,"₹5,046 per sqft"
,Apartment,2 BHK,Sainikpuri Hyderabad,600 sqft,Ready to Move,3 out of 9,Unfurnished,West,Resale,"₹5,938 per sqft"
,Apartment,3 BHK,Serilingampalle M Hyderabad,2100 sqft,Ready to Move,37 out of 50,Unfurnished,East,Resale,"₹10,354 per sqft"
,Apartment,3 BHK,Nanakaramguda Hyderabad,1660 sqft,Ready to Move,9 out of 40,Unfurnished,West,Resale,"₹10,450 per sqft"
,Apartment,3 BHK,Financial District,1900 sqft,Ready to Move,35 out of 39,Unfurnished,East,Resale,"₹12,626 per sqft"
,Apartment,3 BHK,Nanakaramguda Hyderabad,2020 sqft,Ready to Move,6 out of 44,Unfurnished,North,New Property,"₹12,129 per sqft"
,Apartment,4 BHK,Narsingi,3330 sqft,Poss. by Oct '26,25 out of 45,Unfurnished,East,Resale,"₹9,459 per sqft"
,Apartment,3 BHK,Kompally Hyderabad,2225 sqft,Ready to Move,7 out of 14,Unfurnished,West,New Property,"₹6,292 per sqft"
,Apartment,3 BHK,Tellapur,1573 sqft,Ready to Move,29 out of 39,Unfurnished,West,Resale,"₹11,825 per sqft"
,House,6 BHK,Dammaiguda Hyderabad,1700 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹9,444 per sqft"
,Apartment,3 BHK,Rajendranagar Mandal Hyderabad,1300 sqft,Ready to Move,1 out of 10,Furnished,West,Resale,"₹9,509 per sqft"
,Apartment,2 BHK,AS Rao Nagar Hyderabad,909 sqft,Ready to Move,3 out of 5,Semi-Furnished,North,Resale,"₹4,800 per sqft"
,Apartment,2 BHK,Gajularamaram Hyderabad,1051 sqft,Ready to Move,2 out of 5,Unfurnished,West,Resale,"₹5,961 per sqft"
