Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,4 BHK,Kokapet,5465 sqft,Poss. by Jan '28,,Unfurnished,,New Property,"₹13,141 per sqft"
,Apartment,3 BHK,Narsingi,3330 sqft,Poss. by Jan '27,,Unfurnished,,New Property,"₹8,500 per sqft"
,Apartment,4 BHK,Nanakaramguda Hyderabad,6085 sqft,,,Unfurnished,,New Property,"₹10,505 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2450 sqft,Poss. by Jul '31,,Unfurnished,,New Property,"₹8,100 per sqft"
,Apartment,4 BHK,Kokapet,4335 sqft,Poss. by Aug '31,,Unfurnished,,New Property,"₹8,504 per sqft"
,Apartment,3 BHK,Miyapur,2285 sqft,,,Unfurnished,,New Property,"₹6,499 per sqft"
,Apartment,3 BHK,Kollur,2150 sqft,,,Unfurnished,,New Property,"₹6,500 per sqft"
,Apartment,3 BHK,Kharmanghat Hyderabad,1820 sqft,,,Unfurnished,,New Property,"₹6,200 per sqft"
,Villa,3 BHK,Kollur,3060 sqft,,,Unfurnished,,New Property,"₹7,859 per sqft"
,Apartment,3 BHK,Kompally Hyderabad,1895 sqft,Poss. by May '28,,Unfurnished,,New Property,"₹5,999 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,2080 sqft,Poss. by Jun '27,,Unfurnished,,New Property,"₹7,499 per sqft"
,Apartment,3 BHK,Nagole Hyderabad,1494 sqft,Poss. by Oct '26,,Unfurnished,,New Property,"₹6,500 per sqft"
,Apartment,4 BHK,Rai Durg Hyderabad,6605 sqft,,,Unfurnished,,New Property,"₹14,000 per sqft"
,Apartment,3 BHK,Moti Nagar Erragadda Hyderabad,1793 sqft,Poss. by Nov '29,,Unfurnished,,New Property,"₹11,712 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,2065 sqft,,,Unfurnished,,New Property,"₹9,500 per sqft"
,Apartment,2 BHK,Kollur,1325 sqft,,,Unfurnished,,New Property,"₹7,299 per sqft"
,Apartment,2 BHK,Indresham,1180 sqft,,,Unfurnished,,New Property,"₹4,594 per sqft"
,Apartment,3 BHK,Financial District,1732 sqft,,,Unfurnished,,New Property,"₹10,574 per sqft"
,Apartment,3 BHK,Kokapet,3078 sqft,,,Unfurnished,,New Property,"₹15,999 per sqft"
,Apartment,2 BHK,Yapral Hyderabad,100 sqft,Poss. by Sep '26,Upper Basement out of 5,Semi-Furnished,East,New Property,"₹5,502 per sqft"
,Apartment,3 BHK,Rajendranagar Mandal Hyderabad,1985 sqft,Poss. by Dec '26,,Unfurnished,,New Property,"₹7,500 per sqft"
